"Symbol","Name","DACS Sector","DACS Industry Group","DACS Industry","Reconstitution Weight"
"1inch","1inch Network","DeFi","Exchanges","Exchanges (Other)","0.03234114668171524"
"aave","Aave","DeFi","Credit Platform","Lending / Borrowing","0.11634269695923245"
"aca","Acala Token","Smart Contract Platform","Layer 1","Layer 1","0.004146263939673508"
"ach","Alchemy Pay","Currency","BaaS","Payments","0.011784578064037043"
"acs","Access Protocol","Culture & Entertainment","Media","Social","0.005861610159251407"
"ada","Cardano","Smart Contract Platform","Layer 1","Layer 1","1.1086213903190627"
"aergo","Aergo","Currency","BaaS","Payments","0.006919248431635502"
"agld","Adventure Gold","Culture & Entertainment","Metaverse","Gaming","0.0049079569365974175"
"akt","Akash Network","Computing","Private Computing","Private Computing","0.01879322920208209"
"alcx","Alchemix","DeFi","Yield","Yield","0.0026737857043086766"
"algo","Algorand","Smart Contract Platform","Layer 1","Layer 1","0.09531995755239431"
"ali","Artificial Liquid Intelligence","Culture & Entertainment","Metaverse","Metaverse Platform","0.004880043736323375"
"alice","My Neighbor Alice","Culture & Entertainment","Metaverse","Virtual World","0.005266281892911787"
"alpha","Alpha Coin","DeFi","Exchanges","AMM","0.0062685469082292946"
"amp","Amp","DeFi","Credit Platform","Credit Platform (Other)","0.0076191954810876155"
"ankr","Ankr","Computing","Shared Network","Shared Network","0.021931483995090886"
"ant","Aragon","DeFi","DAO","DAO Builder","0.017482958993151637"
"ape","ApeCoin","Culture & Entertainment","Metaverse","Metaverse Platform","0.04492212127237178"
"api3","API3","Computing","Oracle","Oracle","0.010975301412705862"
"apt","Aptos","Smart Contract Platform","Layer 1","Layer 1","0.15893366613535434"
"arb","Arbitrum","Smart Contract Platform","Layer 2","Rollups","0.1217701254204716"
"arpa","ARPA","Computing","Private Computing","Private Computing","0.005325477610997098"
"astr","Astar","Smart Contract Platform","Layer 1","Layer 1","0.030852984363825522"
"atom","Cosmos","Smart Contract Platform","Layer 0","Layer 0","0.2978650744514212"
"audio","Audius","Culture & Entertainment","Media","Broadcast","0.019209674245748858"
"avax","Avalanche","Smart Contract Platform","Layer 1","Layer 1","0.6151798510583373"
"axl","Axelar","Smart Contract Platform","Layer 0","Layer 0","0.016696547235031025"
"axs","Axie Infinity","Culture & Entertainment","Metaverse","Gaming","0.07585380654827154"
"badger","Badger DAO","DeFi","DAO","DAO (Other)","0.006351104425923776"
"bal","Balancer","DeFi","Exchanges","AMM","0.017922287309737148"
"band","Band Protocol","Computing","Oracle","Oracle","0.017397645652908564"
"bat","Basic Attention Token","Culture & Entertainment","Media","Social","0.02880640658432081"
"bch","Bitcoin Cash","Currency","Transparent","Transparent DeFi Currency","0.38583261820056974"
"bico","Biconomy","Smart Contract Platform","Layer 0","Layer 0","0.016746333508144716"
"blur","Blur","Culture & Entertainment","Art","Art","0.031439765458125005"
"blz","Bluzelle","Computing","Shared Storage","Shared Storage","0.008454550608044092"
"bnt","Bancor","DeFi","Asset Management","Asset Management","0.009852514091289295"
"btc","Bitcoin","Currency","Transparent","Transparent DeFi Currency","61.30725884008881"
"c98","Coin98","DeFi","Exchanges","Exchanges (Other)","0.009563490805796033"
"celr","Celer Network","DeFi","Atomic Swaps","Atomic Swaps","0.010063022755232399"
"chr","Chromia","Smart Contract Platform","Layer 1","Layer 1","0.006971176924509412"
"chz","Chiliz","Culture & Entertainment","Media","Social","0.05034222469965658"
"comp","Compound","DeFi","Credit Platform","Lending / Borrowing","0.03796226019256954"
"coti","COTI","Currency","BaaS","Payments","0.005529315268782768"
"cqt","Covalent","Computing","Oracle","Oracle","0.0077305511318228595"
"cro","Cronos","Currency","Transparent","Transparent CeFi Currency","0.2167360836280146"
"crv","Curve DAO Token","DeFi","Exchanges","AMM","0.045922095708032476"
"ctsi","Cartesi","Smart Contract Platform","Layer 2","Rollups","0.010320194961869053"
"cvc","Civic","Digitization","Digitization","Digitization","0.01063671154988873"
"cvx","Convex Finance","DeFi","Yield","Yield","0.026302055771116255"
"dar","Mines of Dalarnia","Culture & Entertainment","Metaverse","Gaming","0.004078568867735847"
"dash","Dash","Currency","Private","Private","0.03099009354145243"
"dia","DIA","Computing","Oracle","Oracle","0.002772211377833509"
"doge","Dogecoin","Currency","Transparent","Transparent DeFi Currency","0.8906931288572608"
"dot","Polkadot","Smart Contract Platform","Layer 0","Layer 0","0.6108174860872292"
"dydx","dYdX","DeFi","Exchanges","CLOB","0.06344371448269101"
"egld","MultiversX","Smart Contract Platform","Layer 1","Layer 1","0.10328749030076893"
"elon","Dogelon Mars","Currency","Transparent","Transparent DeFi Currency","0.0073093338672136875"
"enj","Enjin Coin","Culture & Entertainment","Metaverse","Metaverse Platform","0.02479431652697912"
"ens","Ethereum Name Service","Digitization","Digitization","Digitization","0.023194788379814993"
"eos","EOS","Smart Contract Platform","Layer 1","Layer 1","0.06755398672268353"
"ern","Ethernity Chain","Culture & Entertainment","Art","Art","0.0028589038347007216"
"etc","Ethereum Classic","Smart Contract Platform","Layer 1","Layer 1","0.23675117443640903"
"eth","Ethereum","Smart Contract Platform","Layer 1","Layer 1","20.613448917739962"
"ethw","EthereumPoW","Smart Contract Platform","Layer 1","Layer 1","0.014749324146577588"
"fet","Fetch.ai","Computing","Shared Network","Shared Network","0.029268811781103358"
"fil","Filecoin","Computing","Shared Storage","Shared Storage","0.20223758608244163"
"flow","Flow","Smart Contract Platform","Layer 1","Layer 1","0.060650842121597784"
"flr","Flare","Smart Contract Platform","Layer 1","Layer 1","0.025235318075043915"
"forth","Ampleforth Governance Token","DeFi","DAO","Active DAO","0.004261323935155092"
"ftm","Fantom","Smart Contract Platform","Layer 1","Layer 1","0.07645414475684657"
"fxs","Frax Share","DeFi","DAO","Active DAO","0.05089959062833302"
"gal","Galxe","Digitization","Digitization","Digitization","0.005670193950753212"
"gala","Gala","Culture & Entertainment","Metaverse","Metaverse Platform","0.051214890441172"
"ghst","Aavegotchi","Culture & Entertainment","Metaverse","Gaming","0.00380096687065209"
"glm","Golem","Computing","Shared Network","Shared Network","0.024104636832232847"
"glmr","Moonbeam","Smart Contract Platform","Layer 1","Layer 1","0.016884668870046048"
"gmt","STEPN","Culture & Entertainment","Media","Social","0.027975303830174755"
"gmx","GMX","DeFi","Exchanges","Exchanges (Other)","0.04146513881734502"
"gno","Gnosis","DeFi","DAO","DAO (Other)","0.03708338035401787"
"gods","Gods Unchained","Culture & Entertainment","Metaverse","Gaming","0.0051952932725354"
"grt","The Graph","Computing","Oracle","Oracle","0.10354682688229712"
"gtc","Gitcoin","Currency","Transparent","Transparent (Other)","0.00626377923678312"
"hbar","Hedera","Smart Contract Platform","Layer 1","Layer 1","0.1720921840596374"
"hft","Hashflow","DeFi","Exchanges","AMM","0.005503789763429163"
"high","Highstreet","Culture & Entertainment","Metaverse","Virtual World","0.006104974690236318"
"hnt","Helium","Computing","IoT","IoT","0.024818453994973726"
"icp","Internet Computer","Smart Contract Platform","Layer 1","Layer 1","0.17725120593955604"
"icx","ICON","Smart Contract Platform","Layer 0","Layer 0","0.022718306416043277"
"idex","IDEX","DeFi","Exchanges","Exchanges (Other)","0.0033564100463373075"
"ilv","Illuvium","Culture & Entertainment","Metaverse","Gaming","0.02823834862169618"
"imx","Immutable X","Culture & Entertainment","Art","Art","0.12360092051664588"
"inj","Injective","Smart Contract Platform","Layer 1","Layer 1","0.11980410510204159"
"iotx","IoTeX","Computing","IoT","IoT","0.0204565209938478"
"jasmy","JasmyCoin","Computing","IoT","IoT","0.021884416344273527"
"kava","Kava","Smart Contract Platform","Layer 1","Layer 1","0.0605579731674009"
"knc","Kyber Network Crystal","DeFi","Exchanges","AMM","0.01189270006970703"
"ksm","Kusama","Smart Contract Platform","Layer 0","Layer 0","0.018637325681852772"
"lcx","LCX","Currency","Transparent","Transparent CeFi Currency","0.003009994538481636"
"ldo","Lido DAO","DeFi","DAO","Active DAO","0.18288556772571077"
"link","Chainlink","Computing","Oracle","Oracle","0.7084245887410235"
"lit","Litentry","Digitization","Digitization","Digitization","0.002759579879792655"
"lpt","Livepeer","Culture & Entertainment","Media","Broadcast","0.018310777635877448"
"lqty","Liquity","DeFi","Credit Platform","Lending / Borrowing","0.011697421935773148"
"lrc","Loopring","Smart Contract Platform","Layer 2","Rollups","0.026456392437856788"
"lsk","Lisk","Smart Contract Platform","Layer 0","Layer 0","0.012279343633081995"
"ltc","Litecoin","Currency","Transparent","Transparent DeFi Currency","0.45279976571626557"
"lunc","Terra Luna Classic","Smart Contract Platform","Layer 1","Layer 1","0.03986058583741406"
"luna","Terra","Smart Contract Platform","Layer 1","Layer 1","0.03523517618588965"
"magic","MAGIC","Culture & Entertainment","Metaverse","Metaverse Platform","0.01318335363656885"
"mana","Decentraland","Culture & Entertainment","Metaverse","Virtual World","0.07127100511938388"
"mask","Mask Network","Computing","Shared Storage","Shared Storage","0.024275287906379416"
"matic","Polygon","Smart Contract Platform","Layer 2","Sidechains","0.7088575422613587"
"mc","Merit Circle","Culture & Entertainment","Metaverse","Metaverse Platform","0.021634594213781718"
"mdt","Measurable Data Token","Computing","Shared Storage","Shared Storage","0.0027640147679458722"
"metis","MetisDAO","Smart Contract Platform","Layer 2","Rollups","0.007203965587827756"
"mina","Mina","Currency","Private","Private","0.052143085419543926"
"mkr","Maker","DeFi","DAO","Active DAO","0.11695737430371643"
"mln","Enzyme","DeFi","Asset Management","Asset Management","0.0020019839465299214"
"moon","r/CryptoCurrency Moons","Culture & Entertainment","Media","Social","0.0021122003467258055"
"movr","Moonriver","Smart Contract Platform","Layer 1","Layer 1","0.004405813226908936"
"near","NEAR Protocol","Smart Contract Platform","Layer 1","Layer 1","0.14163785487500372"
"nkn","NKN","Computing","Shared Network","Shared Network","0.005417347423098884"
"nmr","Numeraire","DeFi","Asset Management","Asset Management","0.007740699232010175"
"ocean","Ocean Protocol","Computing","Private Computing","Private Computing","0.020158600164800807"
"ogn","Origin Protocol","Culture & Entertainment","Media","Social","0.006172297435358108"
"omg","OMG Network","Smart Contract Platform","Layer 2","Sidechains","0.008485787483676972"
"op","Optimism","Smart Contract Platform","Layer 2","Rollups","0.13660400590449598"
"osmo","Osmosis","DeFi","Exchanges","AMM","0.028317049800635638"
"oxt","Orchid","Computing","Private Computing","Private Computing","0.006090165752913567"
"pepe","Pepe","Currency","Transparent","Transparent DeFi Currency","0.044514188600600656"
"perp","Perpetual Protocol","DeFi","Exchanges","AMM","0.0037214307194552375"
"pla","PlayDapp","Culture & Entertainment","Metaverse","Metaverse Platform","0.01023717345577544"
"pols","Polkastarter","DeFi","DAO","DAO Builder","0.0029814991267481795"
"pond","Marlin","Smart Contract Platform","Layer 0","Layer 0","0.007365942189708939"
"powr","Powerledger","Currency","BaaS","Supply Chain / Commerce","0.01087984728130783"
"prime","Echelon Prime","Culture & Entertainment","Metaverse","Gaming","0.013685212171141091"
"pyr","Vulcan Forged PYR","Culture & Entertainment","Metaverse","Gaming","0.01582187221830835"
"qi","BENQI","DeFi","Yield","Yield","0.002963378309430795"
"qnt","Quant","Currency","BaaS","Baas (Other)","0.10561665340282425"
"qtum","Qtum","Smart Contract Platform","Layer 1","Layer 1","0.028257636216365643"
"rad","Radworks","Computing","Shared Network","Shared Network","0.0069467263527060825"
"rare","SuperRare","Culture & Entertainment","Art","Art","0.0027698178927076204"
"rbn","Ribbon Finance","DeFi","Yield","Yield","0.00806398933902389"
"ren","Ren","DeFi","Derivatives","Derivatives","0.005001117053374486"
"req","Request","Currency","Transparent","Transparent DeFi Currency","0.006882604825894196"
"rlc","iExec RLC","Computing","Private Computing","Private Computing","0.008283062934321028"
"rly","Rally","Culture & Entertainment","Media","Social","0.002631283951361198"
"rndr","Render Token","Computing","Private Computing","Private Computing","0.08431644463987349"
"rpl","Rocket Pool","DeFi","Yield","Yield","0.04859846251144503"
"rune","THORChain","DeFi","Exchanges","AMM","0.17113829740476053"
"sand","The Sandbox","Culture & Entertainment","Metaverse","Virtual World","0.07600747525337681"
"sc","Siacoin","Computing","Shared Storage","Shared Storage","0.020645280363645317"
"sei","Sei","Smart Contract Platform","Layer 1","Layer 1","0.023717662284519093"
"shib","SHIBA INU","Currency","Transparent","Transparent DeFi Currency","0.4326113204545339"
"skl","SKALE","Smart Contract Platform","Layer 2","Sidechains","0.013025701070949726"
"snt","Status","Culture & Entertainment","Media","Social","0.014481108900878255"
"snx","Synthetix","DeFi","Derivatives","Derivatives","0.06943467442578383"
"sol","Solana","Smart Contract Platform","Layer 1","Layer 1","2.31212867018424"
"spell","Spell Token","DeFi","Credit Platform","Lending / Borrowing","0.004619419284758597"
"stg","Stargate Finance","DeFi","Atomic Swaps","Atomic Swaps","0.009686645376273808"
"storj","Storj","Computing","Shared Storage","Shared Storage","0.021773202527081353"
"stx","Stacks","Smart Contract Platform","Layer 1","Layer 1","0.07718021854683899"
"sui","Sui","Smart Contract Platform","Layer 1","Layer 1","0.04378275531635842"
"sushi","SushiSwap","DeFi","Exchanges","AMM","0.019901783360359502"
"syn","Synapse","DeFi","Atomic Swaps","Atomic Swaps","0.005292813290475807"
"t","Threshold","Computing","Private Computing","Private Computing","0.019462088016972388"
"trb","Tellor","Computing","Oracle","Oracle","0.01950671235504049"
"tru","TrueFi","DeFi","Yield","Yield","0.004314283404842287"
"tvk","The Virtua Kolect","Culture & Entertainment","Media","Social","0.00513639627649609"
"uma","UMA","Computing","Oracle","Oracle","0.011507132307472565"
"unfi","Unifi Protocol DAO","DeFi","Yield","Yield","0.0056592032110793795"
"uni","Uniswap","DeFi","Exchanges","AMM","0.34144826736135003"
"vet","VeChain","Currency","BaaS","Supply Chain / Commerce","0.13281228145397053"
"waves","Waves","Smart Contract Platform","Layer 1","Layer 1","0.022584918698063783"
"woo","WOO Network","Currency","Transparent","Transparent CeFi Currency","0.0381540589858734"
"xlm","Stellar","Currency","BaaS","Payments","0.2819276580937961"
"xrp","XRP","Currency","BaaS","Payments","2.882222076188547"
"xtz","Tezos","Smart Contract Platform","Layer 1","Layer 1","0.0704154044814689"
"xyo","XYO","Computing","Oracle","Oracle","0.004237379218941075"
"yfi","yearn.finance","DeFi","Yield","Yield","0.03297200007494932"
"ygg","Yield Guild Games","Culture & Entertainment","Metaverse","Metaverse Platform","0.00659209103262256"
"zbc","Zebec Protocol","Currency","Transparent","Transparent (Other)","0.0023498944850651447"
"zec","Zcash","Currency","Private","Private","0.0415069994425842"
"zrx","0x","DeFi","Exchanges","Exchanges (Other)","0.03831253524581977"
